Class1,Cname1,Class2,Cname2,Class3,Cname3,Class4,Cname4
E,엔터,MO,영화,0,0,0,0
E,엔터,DR,드라마,0,0,0,0
E,엔터,MU,음악,0,0,0,0
E,엔터,GA,게임,0,0,0,0
E,엔터,AN,애니메이션,0,0,0,0
B,바이오,CT,임상,0,0,0,0
B,바이오,AM,학회,0,0,0,0
B,바이오,DI,질병,0,0,0,0
N,국가,EV,이벤트,0,0,0,0
N,국가,PO,정책,NK,대북,A,철도
N,국가,PO,정책,NK,대북,B,조림
N,국가,PO,정책,NK,대북,C,개성공단
N,국가,PO,정책,NK,대북,D,비료/사료
N,국가,PO,정책,NK,대북,E,송전
N,국가,PO,정책,NK,대북,F,금강산
N,국가,PO,정책,NK,대북,G,자원
N,국가,PO,정책,NK,대북,H,식량
N,국가,PO,정책,FC,수소차,A,연료전지스택
N,국가,PO,정책,FC,수소차,B,수소공급장치
N,국가,PO,정책,FC,수소차,C,공기공급장치
N,국가,PO,정책,FC,수소차,D,열관리장치
N,국가,PO,정책,FC,수소차,E,수소저장장치
N,국가,PO,정책,FC,수소차,F,기타부품
N,국가,PO,정책,FC,수소차,G,수소충전소
N,국가,PO,정책,FC,수소차,H,수소가스
N,국가,AS,국회,0,0,0,0
N,국가,JU,판결,0,0,0,0
W,날씨,AI,대기,A,공기청정기,0,0
W,날씨,AI,대기,B,마스크,0,0
W,날씨,AI,대기,C,인공강우,0,0
W,날씨,AI,대기,D,기타,0,0
W,날씨,TE,기온,0,0,0,0
W,날씨,ND,자연재해,0,0,0,0
P,정치,EL,선거,0,0,0,0
P,정치,SU,여론조사,A,홍준표,0,0
P,정치,SU,여론조사,B,황교안,0,0
P,정치,SU,여론조사,C,오세훈,0,0
P,정치,SU,여론조사,D,유시민,0,0
P,정치,SU,여론조사,E,이낙연,0,0
P,정치,SU,여론조사,F,유승민,0,0
P,정치,SU,여론조사,G,이재명,0,0
P,정치,SU,여론조사,H,안희정,0,0
P,정치,SU,여론조사,I,임종석,0,0
P,정치,SU,여론조사,J,안철수,0,0
P,정치,SU,여론조사,K,조국,0,0
P,정치,SU,여론조사,L,김부겸,0,0
P,정치,SU,여론조사,M,반기문,0,0
C,기업,IP,IPO,0,0,0,0
C,기업,RE,출시,0,0,0,0
C,기업,MA,인수합병,0,0,0,0
C,기업,CO,계약,0,0,0,0
C,기업,EA,실적,0,0,0,0
